product_id;category_id
1990;0
2361;1
1085;2
3091;3
955;4
1603;5
1824;4
1060;6
652;7
2251;8
1614;8
2514;8
2716;9
439;8
2855;10
528;4
2295;11
2833;12
225;13
10;14
206;15
2395;16
1907;17
210;18
315;19
2740;20
1282;21
2886;22
338;6
1407;23
2011;8
2398;18
957;11
2810;2
1948;24
898;25
2084;26
1433;27
388;28
2056;8
2246;5
2287;15
2861;11
2233;8
3051;29
2588;0
1565;22
1998;30
1906;2
1659;11
2807;31
2208;5
2793;8
363;32
2139;33
1770;24
302;34
2440;35
1681;5
98;23
2291;36
2079;18
1749;37
3074;15
62;11
1687;1
1934;11
2042;7
3001;20
1938;4
1365;4
1547;7
1353;8
1475;38
391;19
1115;29
1521;24
2261;32
1360;4
2906;11
1494;39
1642;4
435;5
611;30
2225;40
410;11
478;6
1;10
979;4
2472;41
1866;42
2610;16
278;43
348;7
1945;6
228;18
2847;30
2999;7
1476;22
2789;44
920;6
3010;15
242;45
2930;17
2836;46
33;18
3013;24
1466;8
1439;40
1552;11
2352;8
522;9
2681;24
1141;43
1339;8
1616;47
964;8
2446;9
9;30
3035;24
353;48
112;49
2145;5
1093;20
2888;9
529;10
252;9
2402;30
2917;24
1188;24
1327;24
988;48
399;20
1600;41
3105;50
366;10
1358;51
403;5
2223;4
1821;4
596;35
372;23
560;44
1975;15
728;35
2623;6
3123;52
2059;43
650;11
1854;41
2822;53
2567;22
493;6
392;29
2959;6
2381;54
1042;43
1738;8
1886;40
3135;43
31;6
127;31
568;55
2628;56
192;57
1651;22
1377;24
1875;58
2528;29
2548;37
2282;48
691;33
1652;59
799;15
517;24
352;5
1205;18
494;22
1089;5
1641;59
2343;52
918;60
2735;7
1863;41
1670;61
131;61
2308;10
1063;35
1763;39
2808;61
1702;11
842;19
843;5
818;10
2594;12
1669;5
654;41
2358;7
2620;10
443;8
537;4
158;43
2272;48
1728;5
2252;4
1295;43
1698;20
3108;42
2730;0
1425;38
1584;6
1750;59
776;43
1561;39
1047;9
3018;41
2779;53
996;62
2699;39
696;39
903;52
2626;17
2605;22
1880;63
75;64
1516;18
1241;6
2008;23
1262;14
1455;11
1242;4
2995;2
1302;8
2379;65
2195;66
1074;0
3132;18
2978;41
27;20
303;17
1412;1
464;6
3028;12
2505;33
1718;6
675;18
3106;8
2023;18
2052;46
2122;65
2693;8
2494;26
1756;35
3075;67
558;36
2250;53
121;18
2266;18
2;19
1075;3
1511;15
2811;40
1831;7
562;38
2739;42
2318;46
572;30
34;19
2038;35
2873;29
1178;5
708;6
2755;35
1344;23
1666;51
2162;6
1049;41
171;10
1112;40
21;22
2363;17
35;20
1207;13
1697;8
1111;39
2237;59
454;5
17;15
670;3
2595;2
1252;2
2414;0
1691;2
58;43
2436;4
1977;11
331;35
711;4
3118;23
1182;39
2792;60
1805;5
156;3
2430;6
1119;11
760;39
2267;68
1213;36
178;15
2301;3
987;10
584;30
589;8
1926;3
592;36
593;41
427;17
2648;18
1278;41
2160;39
1558;10
1931;18
1023;2
743;32
667;41
1142;49
1406;11
2302;11
685;39
1246;19
1735;43
3044;33
883;14
2671;4
2928;9
1099;8
1901;60
2057;39
2062;9
2443;26
2690;46
1423;5
2288;39
2858;4
2852;8
610;4
1752;8
3076;6
2578;29
1046;13
424;43
87;6
2248;10
1771;1
1174;4
2539;11
729;46
1518;18
1928;46
1682;35
1709;9
2219;26
703;17
1499;18
2919;69
223;22
2427;18
806;6
2896;32
1185;60
1946;13
2194;18
1595;35
2796;68
2417;39
378;9
1191;30
3115;20
146;57
1993;41
2954;41
1758;24
1405;48
1538;22
3039;39
1361;11
3072;10
792;24
2230;24
2518;23
3094;10
863;24
311;20
968;49
1646;13
2123;39
447;23
1954;39
2934;70
169;33
2285;43
2328;24
1437;17
2668;24
2647;18
1081;4
974;29
1337;9
2749;57
1480;23
2573;10
1793;11
1526;5
994;18
2673;53
322;62
2780;19
1415;24
2019;18
1375;8
279;48
2902;39
2093;13
669;6
887;11
234;5
900;11
2142;9
2689;30
1566;18
609;22
1316;5
1795;6
2592;5
1910;3
983;51
390;39
2545;13
535;2
852;20
1202;35
1527;11
486;9
1876;71
2924;61
1231;67
1510;26
2516;35
1577;54
2665;18
927;20
894;24
1004;55
539;72
935;35
2064;6
132;24
2184;30
367;43
47;11
1909;32
2632;9
881;73
1999;42
897;30
2756;29
2951;40
3079;35
793;74
874;61
2416;8
2846;19
1100;61
1104;40
2798;6
1417;24
2558;18
1370;26
2524;12
1139;22
2310;14
971;23
1707;10
1169;24
668;35
834;23
2972;68
2530;17
1256;18
2579;0
1609;35
745;55
3006;29
2964;9
519;42
594;55
1387;43
545;66
2421;18
1583;26
947;24
2353;11
2895;67
1121;11
1059;8
1893;58
1335;18
3041;75
25;5
1427;6
2389;15
922;8
1789;29
1690;54
2391;20
442;17
2447;24
1310;36
2204;5
701;22
2025;48
182;15
271;40
166;58
2764;0
1144;8
1120;61
2147;20
2132;20
18;5
1198;18
2305;24
1135;6
1992;11
2384;6
1684;5
804;76
1790;43
2169;40
2080;41
2651;10
840;22
50;36
224;61
1442;69
249;30
880;24
960;5
2356;57
3004;52
2270;27
1872;9
2156;0
571;13
1743;8
2676;43
717;20
1376;43
2956;31
1036;11
2280;8
408;11
2696;23
1734;6
319;18
1970;8
2399;61
479;0
72;23
1307;5
746;43
2203;6
616;19
934;48
536;32
453;29
1962;4
232;4
3034;13
2860;0
1398;4
126;24
586;24
277;13
885;6
1451;7
309;6
394;10
420;29
2804;49
1001;20
635;19
1784;32
261;10
1532;41
2146;52
318;10
2733;4
1371;77
642;20
1611;20
200;0
314;13
1660;4
1035;69
49;18
1836;56
2897;29
687;50
1232;18
1432;17
300;61
966;33
1013;8
980;21
1744;59
1825;11
770;9
1240;46
2590;26
101;8
1195;69
1283;11
2028;8
1076;2
886;33
2979;33
674;11
1808;60
351;29
2988;6
1257;14
936;35
993;30
2797;60
2692;13
2322;8
1128;9
1560;7
1787;20
2371;9
1458;24
114;15
1367;4
1492;5
1778;56
2701;6
401;4
805;43
1919;29
1201;26
1981;0
2386;65
2293;23
599;61
1038;67
2313;11
